Date and Time Downloaded : 04/21/2020 09:25:51 am"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Names","Old Health Facility Name 2","Old Health Facility Name 3","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #           ","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Facility Head: Last Name","Facility Head: First Name","Facility Head: Middle Name","Facility Head: Position","Hospital Licensing Status","Service Capability","Bed Capacity"
"DOH000000000000491","491","DR. ERLINDA P. TOLENTINO MEDICAL CLINIC AND HOSPITAL"," "," "," ","Hospital","Private"," "," "," "," ","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","UNISAN","045649000","KALILAYAN IBABA","045649011","4305","+63 425498511"," "," ","jetcomiamd@yahoo.com"," "," ","COMIA","JESUS","M.","Medical Director","Without License","",""
"DOH000000000000501","501","EMIL JOANNA GENERAL HOSPITAL"," "," "," ","Hospital","Private"," "," ","147 QUEZON STREET"," ","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","ATIMONAN","045603000"," "," ","4331"," "," "," "," "," "," ","PILAR","ROMANO JESUS","E."," ","With License","",""
"DOH000000000000505","505","DR. KISON'S CLINIC"," "," "," ","Hospital","Private"," "," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LIPA CITY","041014000"," "," ","4217"," "," "," "," "," "," ","KISON","DALISAY","A."," ","Without License","",""
"DOH000000000000506","506","DR. MARIO D. BEJASA GENERAL HOSPITAL","","","","Hospital","Private","","","J.P. RIZAL STREET","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","BAUAN","041006000","","","4201","+63 437271365","","","bejasa_hospital@yahoo.com","","","MAGNAYE","ODDY","A.","Chief of Hospital","With License","Level 1","27"
"DOH000000000000518","518","DR. R. ROSALES MEMORIAL MEDICAL HOSPITAL, INC.","DR. ROMEO ISANA ROSALES GENERAL HOSPITAL","","","Hospital","Private","","","","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","PADRE GARCIA","041020000","POBLACION","041020023","4224","+63 435159190","","","","","","VISLEÑO","RICHEL","R.","Chief of Hospital","With License","Level 1","16"
"DOH000000000000526","526","DR. JOSE P. RIZAL MEMORIAL DISTRICT HOSPITAL","","","","Hospital","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","LAGUNA","043400000","CITY OF CALAMBA","043405000","BUCAL","043405006","4027","+63 025021755","","","driprizaag@yahoo.com","","","BORLONGAN","ANTHONY","G.","Chief of Hospital","With License","Level 1","100"
"DOH000000000000532","532","DRA. OLIVIA SALAMANCA MEMORIAL DISTRICT HOSPITAL","","","","Hospital","Government","Local Government Unit","","P. GOMEZ STREET","","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","CAVITE CITY","042105000","","","4100","+63 464310552","","","","","","CAGUINGIN","LAMBERTO","","Hospital Director","With License","Level 1","50"
"DOH000000000000537","537","DUQUE GENERAL HOSPITAL"," "," "," ","Hospital","Private"," "," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","SAN JUAN","041023000"," "," ","4226"," "," "," "," "," "," "," "," "," "," ","Without License","",""
"DOH000000000000547","547","FAMILY CARE HOSPITAL, INC.","","","","Hospital","Private","","Corporation","MACARIA AVENUE, PACITA COMPLEX","","REGION IV-A (CALABAR ZON)","040000000","LAGUNA","043400000","CITY OF SAN PEDRO","043425000","NUEVA","043425010","4023","+63 028476177","","","familycare0919@yahoo.com","","","INSO","RAMON","S.","Medical Director","With License","Level 1","37"
"DOH000000000000551","551","GENERAL TRIAS MATERNITY AND PEDIATRIC HOSPITAL","","","","Hospital","Private","","","GENERAL TRIAS DRIVE","","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","CITY OF GENERAL TRIAS","042108000","TEJERO","042108029","4119","+63 464370133","","","","","","TORRES","RICO","E.","Chief of Hospital","With License","Level 1","50"
"DOH000000000000555","555","HCGC MEDICAL PLAZA HOSPITAL"," "," "," ","Hospital","Private"," "," ","260 SAN JOSE STREET"," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","CARMONA","042104000"," "," ","4116"," "," "," "," "," "," ","CASAL-CLEDERA","GLORIA","P."," ","Without License","",""
"DOH000000000000558","558","GREG HOSPITAL-SARIAYA, INC.","","","","Hospital","Private","","","GEN. LUNA CORNER DILITIWAN STREET","","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","SARIAYA","045645000","BARANGAY  1 (POB.)","045645046","4322","+63 427170126","","","greghospital_agc@yahoo.com","","","ANDAMAN","CAROLINE","A.","Chief of Hospital","With License","Level 1","20"
"DOH000000000000563","563","GUINAYANGAN MEDICARE COMMUNITY HOSPITAL","","","","Hospital","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","GUINAYANGAN","045618000","CALIMPAK","045618010","4319","+63 423034462","","","qmch_fravergara@yahoo.com.ph","","","VERGARA","FLORENCIA","A.","Chief of Hospital","With License","Level 1","15"
"DOH000000000000567","567","H.M. CORACHEA GENERAL HOSPITAL","","","","Hospital","Private","","","COLLANTES SUBDIVISION","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","CITY OF TANAUAN","041031000","POBLACION BARANGAY  7","041031038","4232","+63 437781298","","+63 437848386","hm_corachea@yahoo.com","","","CORACHEA","HERMOGENES","M.","Chief of Hospital","With License","Level 1","38"
"DOH000000000000570","570","HOSPITAL DE SAN JUAN BAUTISTA"," "," "," ","Hospital","Private"," "," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LIAN","041013000","BARANGAY  2 (POB.)","041013017","4216"," "," "," "," "," "," ","LAMANO","ROSALINDA","A."," ","Without License","",""
"DOH000000000000584","584","JESUS THE SAVIOR HOSPITAL"," "," "," ","Hospital","Private"," "," ","QUEZON AVENUE"," ","REGION IV-A (CALABAR ZON)","040000000","LAGUNA","043400000","SANTA CRUZ (Capital)","043426000","SANTO ANGEL SUR","043426026","4009"," "," "," "," "," "," ","TEODORO","JOSELITO","T.","Medical Director","Without License","",""
"DOH000000000000599","599","KAWIT KALAYAAN HOSPITAL","","","","Hospital","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","KAWIT","042111000","SAN SEBASTIAN","042111008","4104","+63 466860124","","","kawitkalayaan@yahoo.com","","","CAINGAN","LAMBERTO","J.","Chief of Hospital","With License","Level 1","25"
"DOH000000000000609","609","LAGUNA PROVINCIAL HOSPITAL - SAN PABLO CITY DISTRICT HOSPITAL","LAGUNA MEDICAL CENTER","PANLALAWIGANG PAGAMUTAN NG LAGUNA - SAN PABLO CITY","","Hospital","Government","Local Government Unit","","GENERAL LUNA STREET","","REGION IV-A (CALABAR ZON)","040000000","LAGUNA","043400000","SAN PABLO CITY","043424000","BARANGAY V-A (POB.)","043424020","4000","+63 495211677","+63 495620311","+63 495620371","pplspc@yahoo.com","","","GUIA","JOSE","FANDIÑO","Chief of Hospital","With License","Level 2","100"
"DOH000000000000622","622","LOBO MUNICIPAL HOSPITAL","","","","Hospital","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LOBO","041015000","FABRICA","041015009","4229","","","","lobo_municipal_hospital@yahoo.com","","","SULIT","PRISCILLA","S.","Chief of Hospital","With License","Level 1","14"
"DOH000000000000623","623","MAGSAYSAY MEMORIAL DISTRICT HOSPITAL","","","","Hospital","Government","Local Government Unit","","MAHARLIKA HIGHWAY","","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","LOPEZ","045622000","MAGSAYSAY (POB.)","045622007","4316","+63 423026030","","","mmdhlopezqueazon@yahoo.com","","","LETARGO","DEOGRACIAS","P.","Chief of Hospital","With License","Level 1","75"
"DOH000000000000624","624","LOPEZ SAINT JUDE GENERAL HOSPITAL CORP.","","","","Hospital","Private","","","MAHARLIKA HIGHWAY","","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","LOPEZ","045622000","DANLAGAN","045622027","4316","+63 423025244","","","lopezstjude@yahoo.com","","","PERALTA","MARIA MADONNA","A.","Chief of Hospital","With License","Level 1","65"
"DOH000000000000626","626","LUCBAN MMG HOSPITAL","","","","Hospital","Private","","Cooperative","NATIONAL HIGHWAY","","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","LUCBAN","045623000","TINAMNAN","045623032","4328","+63 425403385","","+63 425408312","hospitallucbanmmg@yahoo.com","","","CABUNGCAL","MYRNA","LEYNES","Medical Director","With License","Level 1","30"
"DOH000000000000627","627","LUCENA UNITED DOCTORS HOSPITAL AND MEDICAL CENTER","","","","Hospital","Private","","","","","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","LUCENA CITY (Capital)","045624000","ISABANG","045624026","4301","+63 423736161","","+63 423736321","ludhmc@yahoo.com","","","VILLANUEVA","JUAN EUGENIO FIDEL","B.","Chief of Hospital","With License","Level 2","97"
"DOH000000000000633","633","MAHAL NA VIRGEN MARIA SANTO ROSARIO DISTRICT HOSPITAL","","","","Hospital","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","ROSARIO","041021000","NAMUNGA","041021026","4225","+63 437064137","","","mvmstorosariodistricthospital@yahoo.com","","","BRIONES","LUISITO","D.","Chief of Hospital","With License","Level 1","30"
"DOH000000000000635","635","LAGUNA PROVINCIAL HOSPITAL - MAJAYJAY MEDICARE HOSPITAL","MAJAYJAY MEDICARE HOSPITAL","","","Hospital","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","LAGUNA","043400000","MAJAYJAY","043416000","TALORTOR","043416041","4005","+63 495736385","","","majayjaymedicarehospital@yahoo.com","","","RONDILLA","JUDY","A.","Chief of Hospital","With License","Level 1","15"
"DOH000000000000636","636","MAJOR DANILO ATIENZA AIR BASE HOSPITAL","","","","Infirmary","Government","Department of National Defense","","A. DIOKNO STREET SANGLEY POINT","","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","CAVITE CITY","042105000","","","4100","+63 464317156","","","","","","DOZON","BERNARDO","D.","Chief of Hospital","With License","","10"
"DOH000000000000649","649","MARTIN MARASIGAN MEMORIAL HOSPITAL","","","","Hospital","Government","Local Government Unit","","MALVAR CORNER MABINI STREET","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","CUENCA","041009000","","","4222","+63 437401381","","","martinmarasigan1980@yahoo.com","","","ADAJAR","EDNEL","M.","Chief of Hospital","With License","Level 1","25"
"DOH000000000000664","664","METRO RIZAL DOCTORS HOSPITAL AND HEALTH SERVICES COOPERATIVE","METRO RIZAL DOCTORS HOSPITAL","","","Hospital","Private","","","MARICK DRIVE","","REGION IV-A (CALABAR ZON)","040000000","RIZAL","045800000","CAINTA","045805000","SANTO DOMINGO","045805020","1900","+63 022516922","","+63 025326505","metrodocs@ymail.com","","","LIM","JIMMY","DY","Medical Director","With License","Level 1","28"
"DOH000000000000665","665","METRO LEMERY MEDICAL CENTER","","","","Hospital","Private","","","","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LEMERY","041012000","PALANAS","041012029","4209","+63 434090480","","+63 437400245","metrolemerymedicntr@yahoo.com.ph","","","MANUEL","EDWIN","C.","Chief of Hospital","With License","Level 2","72"
"DOH000000000000667","667","METRO LIPA MEDICAL CENTER","","","","Hospital","Private","","","J.P. LAUREL HIGHWAY","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LIPA CITY","041014000","MARAUOY","041014030","4217","+63 437560549","","","","","","MONTALBO","NORBERTO","","Chief of Hospital","With License","Level 2","48"
"DOH000000000000678","678","MOLINO DOCTORS HOSPITAL","","","","Hospital","Private","","","NATIONAL ROAD","","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","BACOOR CITY","042103000","MOLINO II","042103045","4102","+63 464771653","","","molinodoctors@yahoo.com","","","BAVIOSA","ANTONIO","P.","Chief of Hospital","With License","Level 1","38"
"DOH000000000000679","679","MORONG DOCTORS HOSPITAL","","","","Hospital","Private","","","491 GOV. MARTINEZ STREET","","REGION IV-A (CALABAR ZON)","040000000","RIZAL","045800000","MORONG","045809000","SAN JUAN (POB.)","045809007","1960","+63 026532491","","","","","","SORIANO","DON","F.","Chief of Hospital","With License","Level 1","25"
"DOH000000000000680","680","LAGUNA PROVINCIAL HOSPITAL - NAGCARLAN DISTRICT HOSPITAL","NAGCARLAN DISTRICT HOSPITAL","","","Hospital","Government","Local Government Unit","","F. BALTAZAR STREET","","REGION IV-A (CALABAR ZON)","040000000","LAGUNA","043400000","NAGCARLAN","043417000","POBLACION III (POB.)","043417035","4002","+63 495631014","+63 495631016","+63 495631014","nagcarlanhospital@yahoo.com","jing_zafra@yahoo.com","","COSME","MONA LISA","F.","Chief of Hospital","With License","Level 1","25"
"DOH000000000000681","681","NAIC MEDICARE HOSPITAL","","","","Infirmary","Government","Local Government Unit","","A. SORIANO HIGHWAY","","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","NAIC","042115000","","","4110","+63 464120312","","","naicmedicare@yahoo.com","larisa.bersamina@yahoo.com","","CUSTODIO","CLEMEVIA","P.","Chief of Hospital","With License","","10"
"DOH000000000000691","691","OUR SAVIOR HOSPITAL, INC.","","","","Hospital","Private","","","GEN. TRIAS DRIVE","","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","ROSARIO","042117000","POBLACION","042117008","4106","+63 464383688","+63 464381802","","a_trias@yahoo.com","","","TRIAS","ALFREDO","L.","Medical Director","With License","Level 1","30"
"DOH000000000000694","694","PAG-ASA HOSPITAL","","","","Hospital","Private","","","899 NATIONAL ROAD","","REGION IV-A (CALABAR ZON)","040000000","RIZAL","045800000","BINANGONAN","045804000","PAG-ASA","045804040","1940","+63 026513962","","+63 026513962","pagasahosp@yahoo.com.ph","","","SAMSON","MARIA ROSETTE","M.","Medical Director","With License","Level 1","27"
"DOH000000000000712","712","PETER PAUL MEDICAL CENTER OF CANDELARIA, INC.","","","","Hospital","Private","","","REGIDOR STREET","","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","CANDELARIA","045608000","POBLACION","045608001","4323","+63 425854531","+63 427411857","","pppch_1948@yahoo.com","","","CALIBUSO","TECHIE","F.","Chief of Hospital","With License","Level 2","60"
"DOH000000000000718","718","POLILLO MEDICARE HOSPITAL","","","","Infirmary","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","POLILLO","045636000","SIBULAN","045636018","4339","+63 423148537","","","","","","CHUA","SONNY","L.","Chief of Hospital","With License","","10"
"DOH000000000000720","720","PRIME GLOBAL CARE MEDICAL CENTER, INC.","","","","Hospital","Private","","","CABEZAS, AVENIDA RIZAL STREET, PAG-ASA SUBDIVISION","","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","BACOOR CITY","042103000","MOLINO V","042103048","4102","+63 464770806","+63 029860960","","ejrsm@rocketmail.com","","","MALUTO","EMILIANO JR.","U.","Medical Director","With License","Level 1","12"
