,Unnamed: 0,Facility Name,Ownership Major Classification,Ownership Sub-Classification for Government facilities,Region Name,Province,location,Hospital Licensing Status,Service Capability,Bed Capacity,lat,lon,City/Municipality Name,code,codenan
14,14,SULU SANITARIUM,Government,Department Of Health,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Sulu,JOLO,With License,Level 1,75.0,6.050345,121.006014,,156602000,0
15,15,TUAN LIGADDUNG LIPAE MEMORIAL HOSPITAL,Government,National Government,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Tawi-Tawi,SAPA-SAPA,With License,Level 1,25.0,5.01887,120.199599,,157010000,0
16,16,CAMP SIONGCO STATION HOSPITAL,Government,Department of National Defense,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Maguindanao,DATU ODIN SINSUAT,With License,Level 1,50.0,7.188866999999999,124.184082,,153807000,0
17,17,HOLY FAMILY HOSPITAL,Private,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Tawi-Tawi,BONGAO,With License,Level 1,,5.030715,119.769127,,157002000,0
18,18,DATU BLAH T. SINSUAT DISTRICT HOSPITAL,Government,National Government,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Maguindanao,UPI,With License,Level 1,10.0,7.019851399999999,124.1649263,,153815000,0
19,19,TAMPARAN DISTRICT HOSPITAL,Government,National Government,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Lanao Del Sur,TAMPARAN,With License,Level 1,25.0,7.880045999999997,124.332955,,153626000,0
20,20,UNAYAN MUNICIPAL HOSPITAL,Government,National Government,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Lanao Del Sur,BINIDAYAN,With License,Level 1,10.0,7.800885000000001,124.166572,,153605000,0
21,21,DATU ALAWADIN BANDON SR. MEMORIAL HOSPITAL,Government,National Government,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Tawi-Tawi,SIBUTU,With License,Level 1,10.0,4.8402333,119.4590288,,157011000,0
22,22,PARANG DISTRICT HOSPITAL,Government,National Government,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Sulu,PARANG,With License,Level 1,25.0,5.9133339000000005,120.9052545,,156609000,0
23,23,LUUK DISTRICT HOSPITAL,Government,National Government,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Sulu,LUUK,With License,Level 1,25.0,5.967575,121.30973229999998,,156604000,0
25,25,COTABATO SANITARIUM,Government,Department Of Health,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Maguindanao,SULTAN KUDARAT,With License,Level 1,140.0,7.235902899999999,124.2691456,,153812000,0
26,26,DINAIG MUNICIPAL HOSPITAL,Government,National Government,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Maguindanao,DATU ODIN SINSUAT,With License,Level 1,10.0,7.0239866,124.3120147,,153807000,0
27,27,"TAMPARAN MEDICAL FOUNDATION, INC. HOSPITAL",Private,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Lanao Del Sur,TAMPARAN,With License,Level 1,35.0,7.8764327,124.3279678,,153626000,0
28,28,BONGAO DOCTOR'S HOSPITAL,Private,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Tawi-Tawi,BONGAO,With License,Level 1,,5.0275376,119.7742781,,157002000,0
29,29,SALAAM HOSPITAL,Private,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Lanao Del Sur,MARAWI,With License,Level 1,20.0,8.004035400000001,124.2953511,,153617000,0
30,30,DENNIS MOLINTAS DISTRICT HOSPITAL,Government,Local Government Unit,CORDILLERA ADMINISTRA TIVE REGION (CAR),Benguet,BOKOD,With License,Level 1,10.0,16.5096734,120.8235118,,141104000,0
31,31,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER,Government,Department Of Health,CORDILLERA ADMINISTRA TIVE REGION (CAR),Benguet,BAGUIO,With License,Level 3,500.0,16.4009911,120.5956827,,141102000,0
32,32,BANGUED CHRISTIAN HOSPITAL,Private,,CORDILLERA ADMINISTRA TIVE REGION (CAR),Abra,BANGUED,With License,Level 1,17.0,17.595812699999996,120.6211783,,140101000,0
33,33,ST. THEODORE'S HOSPITAL,Private,,CORDILLERA ADMINISTRA TIVE REGION (CAR),Mountain Province,SAGADA,With License,Level 1,17.0,17.0848622,120.9020704,,144409000,0
35,35,DR. PETRONILO V. SEARES SR. MEMORIAL HOSPITAL,Private,,CORDILLERA ADMINISTRA TIVE REGION (CAR),Abra,BANGUED,With License,Level 1,24.0,17.598619699999997,120.6155083,,140101000,0
36,36,LEPANTO CONSOLIDATED MINING COMPANY HOSPITAL,Private,,CORDILLERA ADMINISTRA TIVE REGION (CAR),Benguet,MANKAYAN,With License,Level 1,,16.864254000000006,120.780301,,141111000,0
37,37,LUTHERAN HOSPITAL INCORPORATED,Private,,CORDILLERA ADMINISTRA TIVE REGION (CAR),Benguet,BUGUIAS,With License,Level 1,35.0,16.806135600000005,120.8239138,,141105000,0
39,39,CONNER DISTRICT HOSPITAL,Government,Department Of Health,CORDILLERA ADMINISTRA TIVE REGION (CAR),Apayao,CONNER,With License,Level 1,25.0,17.800784699999994,121.3225347,,148102000,0
40,40,BENGUET GENERAL HOSPITAL,Government,Local Government Unit,CORDILLERA ADMINISTRA TIVE REGION (CAR),Benguet,LA TRINIDAD,With License,Level 2,150.0,16.450765099999998,120.5891329,,141110000,0
41,41,PINES CITY DOCTOR'S HOSPITAL,Private,,CORDILLERA ADMINISTRA TIVE REGION (CAR),Benguet,BAGUIO,With License,Level 2,110.0,16.426903,120.594532,,141102000,0
44,44,LUIS HORA MEMORIAL REGIONAL HOSPITAL,Government,Department Of Health,CORDILLERA ADMINISTRA TIVE REGION (CAR),Mountain Province,BAUKO,With License,Level 2,75.0,16.981032199999998,120.8537722,,144402000,0
45,45,BAGUIO MEDICAL CENTER,Private,,CORDILLERA ADMINISTRA TIVE REGION (CAR),Benguet,BAGUIO,With License,Level 1,,16.4019617,120.5975916,,141102000,0
46,46,FAR NORTH LUZON GENERAL HOSPITAL AND TRAINING CENTER,Government,Department Of Health,CORDILLERA ADMINISTRA TIVE REGION (CAR),Apayao,LUNA,With License,Level 1,100.0,18.3395298,121.3838224,,148105000,0
47,47,POTIA DISTRICT HOSPITAL,Government,Local Government Unit,CORDILLERA ADMINISTRA TIVE REGION (CAR),Ifugao,ALFONSO LISTA,With License,Level 1,25.0,16.927026,121.4896226,,142707000,0
48,48,NOTRE DAME DE CHARTRES HOSPITAL,Private,,CORDILLERA ADMINISTRA TIVE REGION (CAR),Benguet,BAGUIO,With License,Level 2,104.0,16.415450099999994,120.598656,,141102000,0
49,49,PARACELIS DISTRICT HOSPITAL,Government,Local Government Unit,CORDILLERA ADMINISTRA TIVE REGION (CAR),Mountain Province,PARACELIS,With License,Level 1,25.0,17.1293741,121.4283121,,144406000,0
50,50,PANOPDOPAN DISTRICT HOSPITAL,Government,Local Government Unit,CORDILLERA ADMINISTRA TIVE REGION (CAR),Ifugao,LAMUT,With License,Level 1,25.0,16.6776989,121.2021369,,142705000,0
51,51,ATOK DISTRICT HOSPITAL,Government,Local Government Unit,CORDILLERA ADMINISTRA TIVE REGION (CAR),Benguet,ATOK,With License,Level 1,15.0,16.627325199999998,120.7669795,,141101000,0
53,53,ALMORA GENERAL HOSPITAL,Private,,CORDILLERA ADMINISTRA TIVE REGION (CAR),Kalinga,TABUK,With License,Level 1,,17.450001,121.458342,,143213000,0
54,54,BESAO DISTRICT HOSPITAL,Government,Local Government Unit,CORDILLERA ADMINISTRA TIVE REGION (CAR),Mountain Province,BESAO,With License,Level 1,25.0,17.095308600000006,120.8556433,,144403000,0
55,55,HOLY TRINITY MEDICAL CLINIC,Private,,CORDILLERA ADMINISTRA TIVE REGION (CAR),Kalinga,TABUK,With License,Level 1,,17.3578425,121.4349693,,143213000,0
56,56,KALINGA PROVINCIAL HOSPITAL,Government,Local Government Unit,CORDILLERA ADMINISTRA TIVE REGION (CAR),Kalinga,TABUK,With License,Level 1,100.0,17.3578425,121.4349693,,143213000,0
57,57,ABRA PROVINCIAL HOSPITAL,Government,Local Government Unit,CORDILLERA ADMINISTRA TIVE REGION (CAR),Abra,BANGUED,With License,Level 1,155.0,17.6069046,120.6181777,,140101000,0
58,58,BONTOC GENERAL HOSPITAL,Government,Local Government Unit,CORDILLERA ADMINISTRA TIVE REGION (CAR),Mountain Province,BONTOC,With License,Level 1,100.0,17.0937063,120.9765676,,144404000,0
59,59,ST. LOUIS UNIVERSITY HOSPITAL OF THE SACRED HEART,Private,,CORDILLERA ADMINISTRA TIVE REGION (CAR),Benguet,BAGUIO,With License,Level 3,180.0,16.4173353,120.5979248,,141102000,0
61,61,CORDILLERA HOSPITAL OF THE DIVINE GRACE,Private,,CORDILLERA ADMINISTRA TIVE REGION (CAR),Benguet,LA TRINIDAD,With License,Level 2,74.0,16.452586,120.574424,,141110000,0
62,62,SAN JUAN GENERAL HOSPITAL,Private,,CORDILLERA ADMINISTRA TIVE REGION (CAR),Kalinga,TABUK,With License,Level 1,20.0,17.4297928,121.4464666,,143213000,0
63,63,BANGUI DISTRICT HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),Ilocos Norte,BANGUI,With License,Level 1,25.0,18.5334207,120.7618443,,12804000,0
64,64,MAPANDAN COMMUNITY HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),Pangasinan,MAPANDAN,With License,Level 1,20.0,16.024455300000003,120.4563647,,15528000,0
65,65,ILOCOS SUR DISTRICT HOSPITAL - SINAIT,Government,Local Government Unit,REGION I (ILOCOS REGION),Ilocos Sur,SINAIT,With License,Level 1,25.0,17.854339399999994,120.4547761,,12930000,0
66,66,URDANETA DISTRICT HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),Pangasinan,URDANETA,With License,Level 1,110.0,15.9738962,120.577969,,15546000,0
67,67,REGION I MEDICAL CENTER,Government,Department Of Health,REGION I (ILOCOS REGION),Pangasinan,DAGUPAN,With License,Level 3,300.0,16.0485481,120.3415708,,15518000,0
68,68,ILOCOS SUR DISTRICT HOSPITAL - MAGSINGAL,Government,Local Government Unit,REGION I (ILOCOS REGION),Ilocos Sur,MAGSINGAL,With License,Level 1,25.0,17.6893939,120.4278186,,12912000,0
69,69,"C AND H MEDICAL AND SURGICAL CLINIC, INC.",Private,,REGION I (ILOCOS REGION),Pangasinan,ALAMINOS,With License,Level 1,8.0,16.158789199999998,119.9763066,,15503000,0
70,70,DEL CARMEN MEDICAL CLINIC AND HOSPITAL,Private,,REGION I (ILOCOS REGION),Pangasinan,ROSALES,With License,Level 1,,15.8828866,120.5988184,,15531000,0
72,72,AGOO FAMILY HOSPITAL,Private,,REGION I (ILOCOS REGION),La Union,AGOO,With License,Level 1,15.0,16.3439301,120.3601699,,13301000,0
73,73,"CUISON HOSPITAL, INC.",Private,,REGION I (ILOCOS REGION),Pangasinan,DAGUPAN,With License,Level 1,,16.040956599999998,120.3338584,,15518000,0
74,74,PIRA HOSPITAL,Private,,REGION I (ILOCOS REGION),Ilocos Sur,CABUGAO,With License,Level 1,29.0,17.792241399999995,120.4544395,,12905000,0
75,75,RESONABLE HOSPITAL,Private,,REGION I (ILOCOS REGION),Ilocos Sur,CANDON,With License,Level 1,24.0,17.191137,120.4494479,,12906000,0
76,76,RAMIREZ BAUTISTA MEMORIAL HOSPITAL,Private,,REGION I (ILOCOS REGION),Pangasinan,BINMALEY,With License,Level 1,18.0,16.029957999999993,120.26928999999998,,15513000,0
77,77,REYES ULEP CLINIC AND HOSPITAL,Private,,REGION I (ILOCOS REGION),Ilocos Sur,SANTA MARIA,With License,Level 1,18.0,17.3660909,120.4819429,,12926000,0
78,78,ELGUIRA GENERAL HOSPITAL,Private,,REGION I (ILOCOS REGION),Pangasinan,SAN CARLOS,With License,Level 2,,15.9375393,120.3465684,,15532000,0
79,79,LUZON MEDICAL CENTER INC.,Private,,REGION I (ILOCOS REGION),Pangasinan,DAGUPAN,With License,Level 2,70.0,16.0334918,120.33227279999998,,15518000,0
80,80,"ALAMINOS DOCTORS HOSPITAL, INC.",Private,,REGION I (ILOCOS REGION),Pangasinan,ALAMINOS,With License,Level 1,42.0,16.1307902,119.9706659,,15503000,0
82,82,"LORMA MEDICAL CENTER, INC.",Private,,REGION I (ILOCOS REGION),La Union,SAN FERNANDO,With License,Level 3,200.0,16.6315149,120.3178716,,13314000,0
84,84,ILOCOS SUR DISTRICT HOSPITAL-BESSANG PASS CERVANTES,Government,Local Government Unit,REGION I (ILOCOS REGION),Ilocos Sur,CERVANTES,With License,Level 1,25.0,16.9884581,120.73362790000002,,12908000,0
85,85,DASOL COMMUNITY HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),Pangasinan,DASOL,With License,Level 1,20.0,15.961906699999998,119.89392759999998,,15519000,0
86,86,LAOAG CITY GENERAL HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),Ilocos Norte,LAOAG,With License,Level 1,50.0,18.188330800000006,120.5771854,,12812000,0
87,87,GAOAT GENERAL HOSPITAL,Private,,REGION I (ILOCOS REGION),Ilocos Norte,BATAC,With License,Level 1,,18.050314,120.565247,,12805000,0
88,88,VIRGEN MILAGROSA MEDICAL CENTER,Private,,REGION I (ILOCOS REGION),Pangasinan,SAN CARLOS,With License,Level 2,75.0,15.9204947,120.3416707,,15532000,0
89,89,LINGAYEN DISTRICT HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),Pangasinan,LINGAYEN,With License,Level 1,40.0,16.018333900000002,120.2293324,,15522000,0
91,91,PANGASINAN PROVINCIAL HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),Pangasinan,SAN CARLOS,With License,Level 2,150.0,15.954235,120.349795,,15532000,0
92,92,GOV. ROQUE B. ABLAN SR. MEMORIAL HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),Ilocos Norte,LAOAG,With License,Level 2,100.0,18.1993459,120.6014423,,12812000,0
93,93,MANGATAREM DISTRICT HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),Pangasinan,MANGATAREM,With License,Level 1,25.0,15.742182,120.325616,,15527000,0
94,94,"STA. TERESITA HOSPITAL, INC.",Private,,REGION I (ILOCOS REGION),Ilocos Norte,MARCOS,With License,Level 2,50.0,18.01524,120.673983,,12813000,0
95,95,DIVINE MERCY FOUNDATION OF URDANETA HOSPITAL,Private,,REGION I (ILOCOS REGION),Pangasinan,URDANETA,With License,Level 1,,15.9395525,120.6554979,,15546000,0
96,96,ILOCOS SUR DISTRICT HOSPITAL - SANTA LUCIA,Government,Local Government Unit,REGION I (ILOCOS REGION),Ilocos Sur,SANTA LUCIA,With License,Level 1,25.0,17.105679100000003,120.4557309,,12925000,0
98,98,MARIANO MARCOS MEMORIAL HOSPITAL AND MEDICAL CENTER,Government,Department Of Health,REGION I (ILOCOS REGION),Ilocos Norte,BATAC,With License,Level 3,200.0,18.0604061,120.5591422,,12805000,0
100,100,ILOCOS TRAINING AND REGIONAL MEDICAL CENTER,Government,Department Of Health,REGION I (ILOCOS REGION),La Union,SAN FERNANDO,With License,Level 3,300.0,16.591233300000006,120.3178371,,13314000,0
101,101,POZORRUBIO COMMUNITY HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),Pangasinan,POZORRUBIO,With License,Level 1,10.0,16.1066717,120.5401737,,15530000,0
102,102,UMINGAN COMMUNITY HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),Pangasinan,UMINGAN,With License,Level 1,15.0,15.9275146,120.8398012,,15544000,0
103,103,CANDON GENERAL HOSPITAL,Private,,REGION I (ILOCOS REGION),Ilocos Sur,CANDON,With License,Level 1,,17.211313399999998,120.4567061,,12906000,0
104,104,LA UNION MEDICAL CENTER,Government,Local Government Unit,REGION I (ILOCOS REGION),La Union,AGOO,With License,Level 2,100.0,16.346667,120.364038,,13301000,0
105,105,DECENA GENERAL HOSPITAL,Private,,REGION I (ILOCOS REGION),Pangasinan,DAGUPAN,With License,Level 1,,16.0693504,120.3347334,,15518000,0
106,106,DINGRAS DISTRICT HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),Ilocos Norte,DINGRAS,With License,Level 1,18.0,18.135648,120.677647,,12809000,0
107,107,CABA DISTRICT HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),La Union,CABA,With License,Level 1,15.0,16.4298218,120.3468827,,13309000,0
108,108,MEDICAL CENTRUM DAGUPAN,Private,,REGION I (ILOCOS REGION),Pangasinan,DAGUPAN,With License,Level 2,42.0,16.0462104,120.3525377,,15518000,0
110,110,BACNOTAN DISTRICT HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),La Union,BACNOTAN,With License,Level 1,25.0,16.725758900000002,120.35072920000002,,13303000,0
111,111,ILOCOS SUR DISTRICT HOSPITAL - TAGUDIN,Government,Local Government Unit,REGION I (ILOCOS REGION),Ilocos Sur,TAGUDIN,With License,Level 1,50.0,16.9220012,120.4601312,,12933000,0
112,112,TAYUG FAMILY HOSPITAL,Private,,REGION I (ILOCOS REGION),Pangasinan,TAYUG,With License,Level 2,48.0,15.9941813,120.723041,,15543000,0
113,113,WESTERN PANGASINAN DISTRICT HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),Pangasinan,ALAMINOS,With License,Level 1,75.0,16.1654429,119.98615759999998,,15503000,0
114,114,BALAOAN DISTRICT HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),La Union,BALAOAN,With License,Level 1,25.0,16.7762214,120.4125226,,13305000,0
115,115,DR. BONIFACIA V. ALBANO MEMORIAL HOSPITAL,Private,,REGION I (ILOCOS REGION),Ilocos Norte,BACARRA,With License,Level 1,,18.2568503,120.6126444,,12802000,0
116,116,SPECIALIST GROUP HOSPITAL AND TRAUMA CENTER,Private,,REGION I (ILOCOS REGION),Pangasinan,DAGUPAN,With License,Level 2,80.0,16.030830599999998,120.3291023,,15518000,0
117,117,NAGUILIAN DISTRICT HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),La Union,NAGUILIAN,With License,Level 1,25.0,16.5296753,120.39168909999998,,13311000,0
118,118,ILOCOS SUR DISTRICT HOSPITAL - NARVACAN,Government,Local Government Unit,REGION I (ILOCOS REGION),Ilocos Sur,NARVACAN,With License,Level 1,30.0,17.418314199999998,120.4697858,,12914000,0
119,119,CORPUZ CLINIC AND HOSPITAL,Private,,REGION I (ILOCOS REGION),Ilocos Sur,SINAIT,With License,Level 1,,17.8661825,120.4579854,,12930000,0
121,121,NUESTRO SEÑOR STO. NIÑO HOSPITAL,Private,,REGION I (ILOCOS REGION),Pangasinan,BAYAMBANG,With License,Level 1,25.0,15.6893282,120.4148098,,15511000,0
122,122,MANAOAG COMMUNITY HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),Pangasinan,MANAOAG,With License,Level 1,25.0,16.036129000000006,120.483128,,15525000,0
123,123,BAYAMBANG DISTRICT HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),Pangasinan,BAYAMBANG,With License,Level 1,50.0,15.808697699999998,120.443471,,15511000,0
124,124,"DR. MARCELO M. CHAN MEMORIAL HOSPITAL, INC.",Private,,REGION I (ILOCOS REGION),Pangasinan,ROSALES,With License,Level 1,,15.8836147,120.59851709999998,,15531000,0
125,125,ROSARIO DISTRICT HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),La Union,ROSARIO,With License,Level 1,25.0,16.224774,120.4731156,,13313000,0
126,126,BLESSED FAMILY DOCTORS GENERAL HOSPITAL,Private,,REGION I (ILOCOS REGION),Pangasinan,SAN CARLOS,With License,Level 2,75.0,15.9188944,120.3559815,,15532000,0
127,127,"NAZARETH GENERAL HOSPITAL, INC.",Private,,REGION I (ILOCOS REGION),Pangasinan,DAGUPAN,With License,Level 2,60.0,16.040794599999998,120.339177,,15518000,0
128,128,"DAGUPAN DOCTORS-VILLAFLOR MEMORIAL HOSPITAL, INC.",Private,,REGION I (ILOCOS REGION),Pangasinan,DAGUPAN,With License,Level 2,,16.0375508,120.3468154,,15518000,0
129,129,ILOCOS SUR PROVINCIAL HOSPITAL - GABRIELA SILANG,Government,Local Government Unit,REGION I (ILOCOS REGION),Ilocos Sur,VIGAN,With License,Level 2,100.0,17.5535027,120.3797408,,12934000,0
130,130,"BETHANY HOSPITAL, INC.",Private,,REGION I (ILOCOS REGION),La Union,SAN FERNANDO,With License,Level 2,80.0,16.6142363,120.3175235,,13314000,0
131,131,JESUS NAZARENE GENERAL HOSPITAL,Private,,REGION I (ILOCOS REGION),Pangasinan,LINGAYEN,With License,Level 2,30.0,16.0145,120.232344,,15522000,0
132,132,METRO VIGAN MULTI-PURPOSE COOPERATIVE HOSPITAL,Private,,REGION I (ILOCOS REGION),Ilocos Sur,BANTAY,With License,Level 2,80.0,17.5807661,120.3867152,,12903000,0
133,133,CITY OF CANDON HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),Ilocos Sur,CANDON,With License,Level 2,25.0,17.184891,120.445502,,12906000,0
134,134,URDANETA SACRED HEART HOSPITAL,Private,,REGION I (ILOCOS REGION),Pangasinan,URDANETA,With License,Level 2,128.0,15.980696,120.571204,,15546000,0
135,135,"THE BLACK NAZARENE HOSPITAL, INC.",Private,,REGION I (ILOCOS REGION),Ilocos Norte,SAN NICOLAS,With License,Level 2,18.0,18.173886,120.59299740000002,,12820000,0
136,136,CICOSAT HOSPITAL,Private,,REGION I (ILOCOS REGION),La Union,SAN FERNANDO,With License,Level 1,,16.63775,120.311734,,13314000,0
137,137,LA UNION MEDICAL DIAGNOSTIC CENTER AND HOSPITAL,Private,,REGION I (ILOCOS REGION),La Union,SAN FERNANDO,With License,Level 1,18.0,16.614827,120.315493,,13314000,0
138,138,ILOCOS SUR COOPERATIVE MEDICAL MISSION GROUP AND HOSPITAL,Private,,REGION I (ILOCOS REGION),Ilocos Sur,VIGAN,With License,Level 1,,17.558960199999998,120.3836775,,12934000,0
139,139,THE MEDICAL CITY PANGASINAN,Private,,REGION I (ILOCOS REGION),Pangasinan,DAGUPAN,With License,Level 2,75.0,16.0462825,120.3405206,,15518000,0
140,140,EASTERN PANGASINAN DISTRICT HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),Pangasinan,TAYUG,With License,Level 1,75.0,16.0195269,120.7423589,,15543000,0
141,141,ASINGAN COMMUNITY HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),Pangasinan,ASINGAN,With License,Level 1,15.0,16.0168366,120.6747201,,15506000,0
142,142,CANDON ST. MARTIN DE PORRES HOSPITAL,Private,,REGION I (ILOCOS REGION),Ilocos Sur,CANDON,With License,Level 1,44.0,17.192905,120.446905,,12906000,0
143,143,DOÑA JOSEFA E. MARCOS DISTRICT HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),Ilocos Norte,MARCOS,With License,Level 1,25.0,18.0430241,120.6788532,,12813000,0
144,144,RANADA GENERAL HOSPITAL,Private,,REGION I (ILOCOS REGION),Ilocos Norte,LAOAG,With License,Level 1,20.0,18.1965887,120.5921338,,12812000,0
146,146,PANGASINAN DOCTORS HOSPITAL,Private,,REGION I (ILOCOS REGION),Pangasinan,SAN CARLOS,With License,Level 2,37.0,15.939963,120.3454319,,15532000,0
147,147,SUERO GENERAL HOSPITAL,Private,,REGION I (ILOCOS REGION),Ilocos Sur,CABUGAO,With License,Level 1,34.0,17.7937495,120.4543939,,12905000,0
148,148,BOLINAO COMMUNITY HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),Pangasinan,BOLINAO,With License,Level 1,25.0,16.2678271,119.878842,,15514000,0
149,149,KARMELLI CLINIC AND HOSPITAL,Private,,REGION I (ILOCOS REGION),Ilocos Norte,LAOAG,With License,Level 1,,18.192057,120.6104455,,12812000,0
150,150,NORTHERN LUZON ADVENTIST HOSPITAL,Private,,REGION I (ILOCOS REGION),Pangasinan,SISON,With License,Level 1,18.0,16.1933585,120.5151916,,15541000,0
151,151,MBP - BLESSED TRINITY GENERAL HOSPITAL,Private,,REGION I (ILOCOS REGION),Pangasinan,MANGATAREM,With License,Level 1,18.0,15.7959053,120.2877908,,15527000,0
